session_id,condition_a,condition_b,n_units,n_bins_a,n_bins_b,wj_unsigned,binary_jaccard_top5,type1_gap,tversky_a_weighted,tversky_b_weighted,type3_asymmetry_gap
ses-719161530,flashes_presentations_1.0,natural_scenes_presentations_9.0,2245,300,3840,0.4130755066871643,0.4282231269065466,-0.015147620219382318,0.5996585811266822,0.5996585811266822,0.0
ses-719161530,flashes_presentations_1.0,natural_scenes_presentations_10.0,2245,300,3840,0.42752382159233093,0.40408477240548946,0.023439049186841476,0.5755845805708841,0.5755845805708841,0.0
ses-719161530,flashes_presentations_1.0,natural_scenes_presentations_13.0,2245,300,4220,0.4176253378391266,0.39968437781309385,0.017940960026032737,0.5711064353487634,0.5711064353487634,0.0
ses-719161530,flashes_presentations_1.0,spontaneous_presentations_spontaneous,2245,300,12365,0.43554624915122986,0.4168954189541895,0.018650830197040336,0.5884632180713804,0.5884632180713804,0.0
ses-719161530,flashes_presentations_1.0,static_gratings_presentations_8.0,2245,300,3840,0.43460628390312195,0.4184193484810091,0.016186935422112858,0.5899797530668148,0.5899797530668148,0.0
ses-719161530,flashes_presentations_1.0,static_gratings_presentations_11.0,2245,300,3840,0.42085081338882446,0.42106005472342106,-0.00020924133459659933,0.5925999444201834,0.5925999444201834,0.0
ses-719161530,flashes_presentations_1.0,static_gratings_presentations_14.0,2245,300,4320,0.4143660366535187,0.4089856466824035,0.005380389971115174,0.58053912422089,0.58053912422089,0.0
ses-719161530,gabors_presentations_0.0,natural_scenes_presentations_9.0,2245,7290,3840,0.48078641295433044,0.5352219120640687,-0.05443549910973822,0.6972567390527611,0.6972567390527611,0.0
ses-719161530,gabors_presentations_0.0,natural_scenes_presentations_10.0,2245,7290,3840,0.4507994055747986,0.5348196713320376,-0.08402026575723898,0.6969153201794434,0.6969153201794434,0.0
ses-719161530,gabors_presentations_0.0,natural_scenes_presentations_13.0,2245,7290,4220,0.45669376850128174,0.5230983190228564,-0.06640455052157468,0.6868871332724602,0.6868871332724602,0.0
ses-719161530,gabors_presentations_0.0,spontaneous_presentations_spontaneous,2245,7290,12365,0.4962347149848938,0.5409980484402817,-0.044763333455387855,0.7021398229385843,0.7021398229385843,0.0
ses-719161530,gabors_presentations_0.0,static_gratings_presentations_8.0,2245,7290,3840,0.5033175349235535,0.5488246542829561,-0.04550711935940266,0.7086982412958037,0.7086982412958037,0.0
ses-719161530,gabors_presentations_0.0,static_gratings_presentations_11.0,2245,7290,3840,0.480020135641098,0.5389268018499624,-0.05890666620886442,0.7003930287030052,0.7003930287030052,0.0
ses-719161530,gabors_presentations_0.0,static_gratings_presentations_14.0,2245,7290,4320,0.47217562794685364,0.5225643443465225,-0.05038871639966891,0.6864266147921712,0.6864266147921712,0.0
